file,type,pdbid,ff,md_or_mini,solvation,free_energy,interior_dielectric,pKa,score_avg,score_std,num_frame,comment
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_1/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,1,4.0,-57.1068,5.0501,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_2/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,2,4.0,-41.5845,4.0368,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_4/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,4,4.0,-33.8234,4.271,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_8/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,8,4.0,-29.9428,4.5663,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_12/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,12,4.0,-28.6493,4.6865,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_16/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,16,4.0,-28.0025,4.7502,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa1_20/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa1,20,4.0,-27.6145,4.7896,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa2_1/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa2,1,4.0,-55.2203,5.0513,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa2_2/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa2,2,4.0,-40.6532,3.8379,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa2_4/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa2,4,4.0,-33.3697,4.1346,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa2_8/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa2,8,4.0,-29.7279,4.4963,250.0,sl
/home/dejun/workspace/NLmmgbsa/results/dna/1DB6/ff99bsc0/md/implicit7/gbsa2_12/FINAL_RESULTS_MMPBSA.dat,dna,1DB6,ff99bsc0,md,implicit7,gbsa2,12,4.0,-28.514,4.6417,250.0,sl
